model,params,rmse,mae
DummyRegressor(),{},4605.9020761226175,3716.263946745712
LinearRegression(),{},2210.298972513327,1637.2228664390925
ElasticNet(),"{'alpha': 1000, 'l1_ratio': 0.9}",2334.4312088121014,1709.6071317969088
ElasticNet(),"{'alpha': 2000, 'l1_ratio': 0.9}",2337.318307908786,1705.0751975487085
ElasticNet(),"{'alpha': 3000, 'l1_ratio': 0.9}",2343.1209215806866,1704.24710870126
ElasticNet(),"{'alpha': 1000, 'l1_ratio': 0.5}",2343.2684686794883,1705.8615745824754
ElasticNet(),"{'alpha': 1000, 'l1_ratio': 0.25}",2347.4926129526043,1705.3714568539244
ElasticNet(),"{'alpha': 1000, 'l1_ratio': 0.1}",2349.71478803437,1705.2750182900065
ElasticNet(),"{'alpha': 4000, 'l1_ratio': 0.9}",2349.872073118415,1705.2907730252882
ElasticNet(),"{'alpha': 2000, 'l1_ratio': 0.5}",2354.8181877521224,1705.9367652382289
ElasticNet(),"{'alpha': 5000, 'l1_ratio': 0.9}",2357.3681640871228,1707.7514236864763
ElasticNet(),"{'alpha': 2000, 'l1_ratio': 0.25}",2362.028897295938,1707.052600925909
ElasticNet(),"{'alpha': 6000, 'l1_ratio': 0.9}",2365.503514253487,1711.7040039970852
ElasticNet(),"{'alpha': 2000, 'l1_ratio': 0.1}",2366.167891776056,1708.108818394884
ElasticNet(),"{'alpha': 3000, 'l1_ratio': 0.5}",2366.731526086929,1709.2229642654434
ElasticNet(),"{'alpha': 7000, 'l1_ratio': 0.9}",2374.193253661616,1716.332366592226
ElasticNet(),"{'alpha': 3000, 'l1_ratio': 0.25}",2377.2392344814057,1713.2849584014712
ElasticNet(),"{'alpha': 4000, 'l1_ratio': 0.5}",2379.176046411314,1715.1154039370806
ElasticNet(),"{'alpha': 3000, 'l1_ratio': 0.1}",2383.296528058581,1716.0279466982108
ElasticNet(),"{'alpha': 8000, 'l1_ratio': 0.9}",2383.42114472042,1721.4351721955081
ElasticNet(),"{'alpha': 5000, 'l1_ratio': 0.5}",2391.8226636912495,1721.8179843093726
ElasticNet(),"{'alpha': 4000, 'l1_ratio': 0.25}",2392.762582620847,1721.485162988426
ElasticNet(),"{'alpha': 4000, 'l1_ratio': 0.1}",2400.5991079298565,1725.7514354942032
ElasticNet(),"{'alpha': 10000, 'l1_ratio': 0.9}",2403.3204490583184,1733.8623165746674
ElasticNet(),"{'alpha': 6000, 'l1_ratio': 0.5}",2405.0387189941175,1729.5896072943603
ElasticNet(),"{'alpha': 5000, 'l1_ratio': 0.25}",2408.5903347962276,1730.8660793246158
ElasticNet(),"{'alpha': 5000, 'l1_ratio': 0.1}",2417.185198371175,1735.8701163771593
ElasticNet(),"{'alpha': 7000, 'l1_ratio': 0.5}",2418.0691876503597,1737.4343406393627
ElasticNet(),"{'alpha': 6000, 'l1_ratio': 0.25}",2423.4911126352035,1740.117910753037
ElasticNet(),"{'alpha': 8000, 'l1_ratio': 0.5}",2430.74133314599,1745.3427636210854
ElasticNet(),"{'alpha': 6000, 'l1_ratio': 0.1}",2432.9761347554613,1746.0903688473118
ElasticNet(),"{'alpha': 7000, 'l1_ratio': 0.25}",2437.755606980107,1749.4886321105835
ElasticNet(),"{'alpha': 7000, 'l1_ratio': 0.1}",2447.7948862311546,1756.2128286883285
ElasticNet(),"{'alpha': 8000, 'l1_ratio': 0.25}",2451.3184126080787,1758.8179956305814
ElasticNet(),"{'alpha': 10000, 'l1_ratio': 0.5}",2454.541159724642,1761.3905005650572
ElasticNet(),"{'alpha': 8000, 'l1_ratio': 0.1}",2461.6657955766527,1766.1023778795688
ElasticNet(),"{'alpha': 10000, 'l1_ratio': 0.25}",2476.2401090290696,1776.7776473022122
ElasticNet(),"{'alpha': 10000, 'l1_ratio': 0.1}",2486.7485960027648,1784.6359560974377
ElasticNet(),"{'alpha': 20000, 'l1_ratio': 0.9}",2496.326862961154,1794.3058798869138
ElasticNet(),"{'alpha': 20000, 'l1_ratio': 0.5}",2549.6858470668467,1832.3602037027067
ElasticNet(),"{'alpha': 20000, 'l1_ratio': 0.25}",2566.376665274737,1846.7868472047162
ElasticNet(),"{'alpha': 20000, 'l1_ratio': 0.1}",2574.2576664839025,1853.96839802823
ElasticNet(),"{'alpha': 30000, 'l1_ratio': 0.9}",2574.8488922540196,1850.3742830357346
ElasticNet(),"{'alpha': 30000, 'l1_ratio': 0.5}",2616.920191726759,1886.1840912136806
ElasticNet(),"{'alpha': 30000, 'l1_ratio': 0.25}",2625.0473151793767,1895.9831060716886
ElasticNet(),"{'alpha': 30000, 'l1_ratio': 0.1}",2630.641866377443,1902.3632319044798
ElasticNet(),"{'alpha': 40000, 'l1_ratio': 0.9}",2634.4011640010986,1898.3255228482708
ElasticNet(),"{'alpha': 40000, 'l1_ratio': 0.5}",2662.83692950973,1926.678667877015
ElasticNet(),"{'alpha': 40000, 'l1_ratio': 0.25}",2669.0471545926575,1935.2339524331958
ElasticNet(),"{'alpha': 40000, 'l1_ratio': 0.1}",2673.209723224989,1941.1322596243558
ElasticNet(),"{'alpha': 50000, 'l1_ratio': 0.9}",2690.4473434815873,1945.0441564410348
ElasticNet(),"{'alpha': 50000, 'l1_ratio': 0.5}",2699.6593462054525,1960.060373792253
ElasticNet(),"{'alpha': 50000, 'l1_ratio': 0.25}",2704.3030448709724,1968.8021057914386
ElasticNet(),"{'alpha': 50000, 'l1_ratio': 0.1}",2707.9154483277625,1974.9809455057512
ElasticNet(),"{'alpha': 60000, 'l1_ratio': 0.9}",2727.225518986219,1975.6823193470273
ElasticNet(),"{'alpha': 60000, 'l1_ratio': 0.5}",2733.1434414507175,1991.546913647019
ElasticNet(),"{'alpha': 60000, 'l1_ratio': 0.25}",2735.7387599698777,2000.0560547452633
ElasticNet(),"{'alpha': 60000, 'l1_ratio': 0.1}",2738.1203379176613,2005.772159807158
ElasticNet(),"{'alpha': 70000, 'l1_ratio': 0.9}",2748.9864729621127,1995.4736892575716
ElasticNet(),"{'alpha': 70000, 'l1_ratio': 0.5}",2763.9587763790505,2021.1223593984323
ElasticNet(),"{'alpha': 70000, 'l1_ratio': 0.25}",2764.4617328940303,2029.0844241880425
ElasticNet(),"{'alpha': 70000, 'l1_ratio': 0.1}",2765.575984774872,2034.096095721715
ElasticNet(),"{'alpha': 80000, 'l1_ratio': 0.9}",2772.142622905425,2017.4674339597034
ElasticNet(),"{'alpha': 80000, 'l1_ratio': 0.5}",2790.664591022134,2047.5147528169937
ElasticNet(),"{'alpha': 80000, 'l1_ratio': 0.1}",2790.8133335882303,2060.0117409366594
ElasticNet(),"{'alpha': 80000, 'l1_ratio': 0.25}",2791.0119103872257,2056.0119015639684
DecisionTreeRegressor(),"{'max_depth': 9, 'min_samples_leaf': 10}",1895.7182950004503,1273.6298819819126
RandomForestRegressor(),"{'max_depth': None, 'min_samples_leaf': 1}",1499.070287593419,1022.1916350310084
RandomForestRegressor(),"{'max_depth': None, 'min_samples_leaf': 2}",1522.189526634323,1027.7706081734145
"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, gamma=None,
             gpu_id=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=None, max_bin=None,
             max_cat_to_onehot=None, max_delta_step=None, max_depth=None,
             max_leaves=None, min_child_weight=None, missing=nan,
             monotone_constraints=None, n_estimators=100, n_jobs=None,
             num_parallel_tree=None, predictor=None, random_state=None,
             reg_alpha=None, reg_lambda=None, ...)","{'reg_alpha': 1, 'reg_lambda': 1, 'tree_method': 'approx'}",1519.8950083655059,1052.928991548773
MLPRegressor(),{'hidden_layer_sizes': 4000},1703.3793869552414,1197.7522805770984
MLPRegressor(),"{'hidden_layer_sizes': (4000, 1000)}",1863.7203807307544,1339.138068233758
